params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.78125,0.6428571428571428,0.6521739130434783,0.5970149253731344,0.7246376811594203,0.6795867324866351,0.06524359998034307
"{'classifier__C': 0.0001, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7432432432432432,0.7792207792207794,0.6493506493506493,0.625,0.6493506493506493,0.6892330642330642,0.0605342694015496
"{'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7936507936507936,0.5970149253731344,0.6617647058823529,0.5970149253731344,0.7575757575757576,0.6814042215710346,0.08127756522314776
"{'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7534246575342465,0.7894736842105262,0.6493506493506493,0.6338028169014085,0.6666666666666666,0.6985436949326994,0.061494170388926635
"{'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.6666666666666666,0.6451612903225806,0.6818181818181819,0.6557377049180327,0.7142857142857143,0.6727339116022353,0.024062452986321606
"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7258064516129031,0.661764705882353,0.6716417910447761,0.6060606060606061,0.7575757575757576,0.6845698624352792,0.05269009497818774
"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.6666666666666666,0.6666666666666666,0.625,0.6557377049180327,0.7142857142857143,0.6656713505074161,0.028699037408509064
"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7377049180327869,0.6349206349206349,0.6818181818181819,0.6451612903225806,0.8064516129032258,0.7012113275994819,0.06374865725865186
"{'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.6666666666666666,0.6666666666666666,0.625,0.6557377049180327,0.7258064516129031,0.6679754979728538,0.03269404313498419
"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7377049180327869,0.6557377049180327,0.625,0.6451612903225806,0.7936507936507936,0.6914509413848388,0.06390326255249075
"{'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.6666666666666666,0.6666666666666666,0.625,0.6557377049180327,0.7258064516129031,0.6679754979728538,0.03269404313498419
"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7377049180327869,0.6557377049180327,0.6153846153846154,0.6451612903225806,0.7258064516129031,0.6759589960541837,0.047589878322415215
"{'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.6666666666666666,0.6666666666666666,0.625,0.6557377049180327,0.7258064516129031,0.6679754979728538,0.03269404313498419
"{'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__solver': 'liblinear'}",unigram,0.7377049180327869,0.6557377049180327,0.6153846153846154,0.6451612903225806,0.7258064516129031,0.6759589960541837,0.047589878322415215
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.1, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.2, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.3, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{'classifier__C': 0.0001, 'classifier__class_weight': None, 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",unigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
