params,featurization,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 10}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.19999999999999996,0.10204081632653061,0.19999999999999996,0.0,0.1004081632653061,0.08944644425020247
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.19999999999999996,0.0,0.0,0.039999999999999994,0.07999999999999999
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 250}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__n_estimators': 10000}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.0,0.0,0.10204081632653061,0.0,0.0,0.020408163265306124,0.04081632653061225
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 10}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.29411764705882354,0.19607843137254902,0.29411764705882354,0.29411764705882354,0.19999999999999996,0.25568627450980397,0.04708496006212907
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.3846153846153846,0.19999999999999996,0.19999999999999996,0.29411764705882354,0.19999999999999996,0.2557466063348416,0.07403046823479728
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 250}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.3846153846153846,0.19999999999999996,0.19999999999999996,0.29411764705882354,0.10204081632653061,0.23615476960014775,0.09591781541126687
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.3846153846153846,0.10204081632653061,0.19999999999999996,0.29411764705882354,0.10204081632653061,0.21656293286545383,0.11023730886681969
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.29411764705882354,0.10204081632653061,0.19999999999999996,0.29411764705882354,0.10204081632653061,0.19846338535414165,0.08590280599011214
"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.29411764705882354,0.10204081632653061,0.19999999999999996,0.29411764705882354,0.10204081632653061,0.19846338535414165,0.08590280599011214
"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__n_estimators': 10}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.5454545454545454,0.19607843137254902,0.29411764705882354,0.4716981132075472,0.19999999999999996,0.34146974741869307,0.14280320074185507
"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.6250000000000001,0.19607843137254902,0.3846153846153846,0.3846153846153846,0.10204081632653061,0.3384700033859698,0.18029550834743097
"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__n_estimators': 250}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.7017543859649122,0.19607843137254902,0.3846153846153846,0.4716981132075472,0.10204081632653061,0.37123742629738465,0.21102619189757682
"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}","{'type': 'unigram', 'named_parameters': {'n': 1, 'k_highest': None}, 'metadata': {'tokenized_with': 'fugashi', 'stopwords': {'url': 'https://raw.githubusercontent.com/stopwords-iso/stopwords-ja/5a000f6a62f9e3a12f436f36d168e2fcd2fb1878/stopwords-ja.json'}, 'lemmatize': True}}",0.6250000000000001,0.28846153846153844,0.3846153846153846,0.4716981132075472,0.10204081632653061,0.37436317052220014,0.17546314384360784
