embedding_type,dim_red_algo_name,n_components,cluster_algo_name,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20
TF-IDF,,,K-means,$1.06\cdot10^{6}$,$1.06\cdot10^{6}$,$1.05\cdot10^{6}$,$1.05\cdot10^{6}$,$1.05\cdot10^{6}$,$1.04\cdot10^{6}$,$1.04\cdot10^{6}$,$1.04\cdot10^{6}$,$1.04\cdot10^{6}$,$1.03\cdot10^{6}$,$1.03\cdot10^{6}$,$1.02\cdot10^{6}$,$1.02\cdot10^{6}$,$1.02\cdot10^{6}$,$1.01\cdot10^{6}$,$1.01\cdot10^{6}$,$1.00\cdot10^{6}$,$9.99\cdot10^{5}$,$9.99\cdot10^{5}$
TF-IDF,,,K-medoids,$2.78\cdot10^{4}$,$2.77\cdot10^{4}$,$2.77\cdot10^{4}$,$2.76\cdot10^{4}$,$2.75\cdot10^{4}$,$2.75\cdot10^{4}$,$2.75\cdot10^{4}$,$2.75\cdot10^{4}$,$2.74\cdot10^{4}$,$2.74\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.72\cdot10^{4}$,$2.71\cdot10^{4}$
TF-IDF,PCA,2,K-means,$5.93\cdot10^{3}$,$1.21\cdot10^{3}$,720,496,355,282,208,167,142,119,106,97.0,89.5,83.0,76.5,70.0,64.7,63.4,58.3
TF-IDF,PCA,2,K-medoids,580,518,464,419,395,381,364,364,348,344,339,335,336,331,330,328,330,327,321
TF-IDF,t-SNE,2,K-means,$7.03\cdot10^{5}$,$4.86\cdot10^{5}$,$3.79\cdot10^{5}$,$3.02\cdot10^{5}$,$2.47\cdot10^{5}$,$2.11\cdot10^{5}$,$1.88\cdot10^{5}$,$1.68\cdot10^{5}$,$1.52\cdot10^{5}$,$1.39\cdot10^{5}$,$1.26\cdot10^{5}$,$1.17\cdot10^{5}$,$1.08\cdot10^{5}$,$1.02\cdot10^{5}$,$9.44\cdot10^{4}$,$8.92\cdot10^{4}$,$8.49\cdot10^{4}$,$8.04\cdot10^{4}$,$7.59\cdot10^{4}$
TF-IDF,t-SNE,2,K-medoids,$2.01\cdot10^{4}$,$1.68\cdot10^{4}$,$1.49\cdot10^{4}$,$1.32\cdot10^{4}$,$1.21\cdot10^{4}$,$1.13\cdot10^{4}$,$1.06\cdot10^{4}$,$1.01\cdot10^{4}$,$9.61\cdot10^{3}$,$9.50\cdot10^{3}$,$9.08\cdot10^{3}$,$8.62\cdot10^{3}$,$8.26\cdot10^{3}$,$8.13\cdot10^{3}$,$7.87\cdot10^{3}$,$7.60\cdot10^{3}$,$7.46\cdot10^{3}$,$7.26\cdot10^{3}$,$7.26\cdot10^{3}$
BERT,,,K-means,$4.63\cdot10^{5}$,$4.46\cdot10^{5}$,$4.32\cdot10^{5}$,$4.19\cdot10^{5}$,$4.09\cdot10^{5}$,$4.01\cdot10^{5}$,$3.94\cdot10^{5}$,$3.89\cdot10^{5}$,$3.83\cdot10^{5}$,$3.77\cdot10^{5}$,$3.73\cdot10^{5}$,$3.69\cdot10^{5}$,$3.65\cdot10^{5}$,$3.61\cdot10^{5}$,$3.59\cdot10^{5}$,$3.54\cdot10^{5}$,$3.52\cdot10^{5}$,$3.50\cdot10^{5}$,$3.48\cdot10^{5}$
BERT,,,K-medoids,$2.22\cdot10^{4}$,$2.11\cdot10^{4}$,$2.10\cdot10^{4}$,$2.09\cdot10^{4}$,$2.07\cdot10^{4}$,$2.07\cdot10^{4}$,$2.07\cdot10^{4}$,$2.06\cdot10^{4}$,$2.05\cdot10^{4}$,$2.02\cdot10^{4}$,$2.00\cdot10^{4}$,$1.99\cdot10^{4}$,$2.02\cdot10^{4}$,$2.02\cdot10^{4}$,$2.00\cdot10^{4}$,$2.00\cdot10^{4}$,$1.99\cdot10^{4}$,$1.99\cdot10^{4}$,$1.99\cdot10^{4}$
BERT,PCA,2,K-means,$5.48\cdot10^{4}$,$4.17\cdot10^{4}$,$3.01\cdot10^{4}$,$2.21\cdot10^{4}$,$1.84\cdot10^{4}$,$1.60\cdot10^{4}$,$1.40\cdot10^{4}$,$1.23\cdot10^{4}$,$1.07\cdot10^{4}$,$9.49\cdot10^{3}$,$8.67\cdot10^{3}$,$8.12\cdot10^{3}$,$7.56\cdot10^{3}$,$7.08\cdot10^{3}$,$6.69\cdot10^{3}$,$6.24\cdot10^{3}$,$5.99\cdot10^{3}$,$5.59\cdot10^{3}$,$5.35\cdot10^{3}$
BERT,PCA,2,K-medoids,$5.73\cdot10^{3}$,$5.01\cdot10^{3}$,$4.35\cdot10^{3}$,$4.06\cdot10^{3}$,$3.88\cdot10^{3}$,$3.13\cdot10^{3}$,$2.88\cdot10^{3}$,$2.70\cdot10^{3}$,$2.73\cdot10^{3}$,$2.67\cdot10^{3}$,$2.44\cdot10^{3}$,$2.29\cdot10^{3}$,$2.27\cdot10^{3}$,$2.09\cdot10^{3}$,$2.16\cdot10^{3}$,$2.03\cdot10^{3}$,$1.93\cdot10^{3}$,$1.88\cdot10^{3}$,$1.84\cdot10^{3}$
BERT,t-SNE,2,K-means,$2.20\cdot10^{5}$,$1.57\cdot10^{5}$,$1.10\cdot10^{5}$,$7.98\cdot10^{4}$,$6.88\cdot10^{4}$,$5.91\cdot10^{4}$,$4.97\cdot10^{4}$,$4.29\cdot10^{4}$,$3.71\cdot10^{4}$,$3.32\cdot10^{4}$,$3.07\cdot10^{4}$,$2.81\cdot10^{4}$,$2.59\cdot10^{4}$,$2.38\cdot10^{4}$,$2.21\cdot10^{4}$,$2.10\cdot10^{4}$,$1.98\cdot10^{4}$,$1.87\cdot10^{4}$,$1.80\cdot10^{4}$
BERT,t-SNE,2,K-medoids,$1.15\cdot10^{4}$,$9.89\cdot10^{3}$,$8.21\cdot10^{3}$,$7.05\cdot10^{3}$,$6.65\cdot10^{3}$,$6.09\cdot10^{3}$,$5.72\cdot10^{3}$,$5.21\cdot10^{3}$,$5.02\cdot10^{3}$,$5.07\cdot10^{3}$,$4.77\cdot10^{3}$,$4.36\cdot10^{3}$,$4.21\cdot10^{3}$,$4.20\cdot10^{3}$,$4.05\cdot10^{3}$,$3.79\cdot10^{3}$,$3.69\cdot10^{3}$,$3.64\cdot10^{3}$,$3.55\cdot10^{3}$
