embedding_type,dim_red_algo_name,n_components,cluster_algo_name,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20
TF-IDF,,,K-means,1062564.6285878727,1056265.7729540588,1052054.6713808302,1050991.7099711658,1048786.6573312331,1041805.6563532497,1040588.5778020141,1037977.915742695,1036190.270153791,1030713.5930601205,1025076.6034890136,1024518.9536045197,1021161.3390893439,1016297.96050828,1008639.7749805799,1008970.2969449868,1004856.3080866991,998736.6753061386,998544.11916023
TF-IDF,,,K-medoids,27821.718566153948,27735.511766552594,27684.264554005444,27607.562072345198,27549.42988291591,27549.42988291591,27549.42988291591,27500.100447107427,27437.78170064908,27402.91324980391,27248.1908454562,27248.1908454562,27248.1908454562,27248.1908454562,27248.1908454562,27248.1908454562,27213.709078169864,27175.414777554717,27137.06713711555
TF-IDF,PCA,2,K-means,5930.038596627164,1209.5782911283382,720.4684386741387,495.88961454656965,354.9478654192337,282.3125097167613,207.744931154195,167.13149981788928,142.1458760467678,119.28794647976052,105.72498277868192,96.96269988917565,89.50092805047021,82.99483161014632,76.46700060818905,69.97118322658481,64.66918158107225,63.38104308409548,58.345318078655694
TF-IDF,PCA,2,K-medoids,579.501501931963,518.0005722268625,463.8679995059299,418.62319828774423,395.052469061554,381.1616926903315,364.3573815305098,363.8976605745414,347.9144402279977,344.3239992191768,339.30031102666135,335.13705706706185,336.4161229130649,330.59508010843206,330.2157834244292,328.1616500977135,330.287453451887,327.2532922120525,321.2958978181318
TF-IDF,t-SNE,2,K-means,703240.5625,486239.375,378713.03125,301535.3125,247082.75,210933.875,187532.625,167603.28125,151890.34375,139081.828125,125611.9375,116603.03125,108191.484375,102251.15625,94427.6484375,89215.609375,84876.59375,80435.8125,75878.21875
TF-IDF,t-SNE,2,K-medoids,20111.65234375,16828.259765625,14917.8310546875,13216.3095703125,12128.2939453125,11276.2021484375,10624.19140625,10091.166015625,9605.771484375,9498.5732421875,9079.5322265625,8624.9990234375,8256.2578125,8133.08056640625,7874.58349609375,7599.830078125,7457.951171875,7256.61328125,7255.845703125
BERT,,,K-means,462970.1875,446289.125,432414.3125,419263.9375,408976.125,400944.8125,394371.875,388877.875,382908.875,376685.875,372881.34375,368638.90625,364722.8125,361124.53125,358573.75,354215.5,351689.90625,350095.9375,347752.375
BERT,,,K-medoids,22228.78125,21137.27734375,20987.109375,20918.703125,20729.49609375,20720.61328125,20667.380859375,20588.71484375,20541.86328125,20230.59765625,19964.73046875,19931.04296875,20245.619140625,20217.39453125,19993.1484375,19971.134765625,19928.392578125,19895.03515625,19867.453125
BERT,PCA,2,K-means,54813.5390625,41675.13671875,30062.888671875,22082.4453125,18371.16015625,15967.2734375,14014.505859375,12293.5947265625,10714.5703125,9493.4365234375,8671.06640625,8116.0634765625,7560.12841796875,7079.9365234375,6693.58056640625,6242.8037109375,5992.5751953125,5591.6220703125,5347.80078125
BERT,PCA,2,K-medoids,5733.65380859375,5006.162109375,4354.677734375,4056.006103515625,3883.9248046875,3129.32861328125,2879.703369140625,2703.53125,2733.37255859375,2666.70458984375,2440.423095703125,2294.22314453125,2270.527099609375,2089.36328125,2157.78955078125,2026.9161376953125,1925.46044921875,1881.5902099609375,1844.687255859375
BERT,t-SNE,2,K-means,219503.78125,156551.828125,109854.484375,79754.578125,68837.140625,59079.5703125,49708.42578125,42852.640625,37065.78125,33209.77734375,30744.724609375,28066.875,25896.791015625,23791.251953125,22065.44921875,21045.96875,19779.392578125,18677.09765625,17953.78515625
BERT,t-SNE,2,K-medoids,11514.412109375,9890.93359375,8207.3984375,7050.94140625,6646.1806640625,6085.755859375,5722.6904296875,5205.64990234375,5017.41845703125,5073.75830078125,4769.3173828125,4356.9873046875,4207.3857421875,4200.2880859375,4050.32666015625,3790.223876953125,3694.45751953125,3642.015625,3545.8115234375
